,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,count_x,count_y,total_counts
0,0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,67674.0,68006,135680.0
1,1,79,Franklin St & W Broadway,40.71911552,-74.00666661,51072.0,52009,103081.0
2,2,82,St James Pl & Pearl St,40.71117416,-74.00016545,21452.0,21590,43042.0
3,3,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,26546.0,28653,55199.0
4,4,116,W 17 St & 8 Ave,40.74177603,-74.00149746,78166.0,78911,157077.0
5,5,119,Park Ave & St Edwards St,40.69608941,-73.97803415,5565.0,5907,11472.0
6,6,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,15119.0,14173,29292.0
7,7,127,Barrow St & Hudson St,40.73172428,-74.00674436,110949.0,112198,223147.0
8,8,128,MacDougal St & Prince St,40.72710258,-74.00297088,108782.0,111257,220039.0
9,9,137,E 56 St & Madison Ave,40.761628,-73.972924,21007.0,22539,43546.0
10,10,143,Clinton St & Joralemon St,40.69239502,-73.99337909,31847.0,31898,63745.0
11,11,144,Nassau St & Navy St,40.69839895,-73.98068914,13503.0,14505,28008.0
12,12,146,Hudson St & Reade St,40.71625008,-74.0091059,50397.0,50558,100955.0
13,13,147,Greenwich St & Warren St,40.71542197,-74.01121978,49994.0,52179,102173.0
14,14,150,E 2 St & Avenue C,40.7208736,-73.98085795,49474.0,47802,97276.0
15,15,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,144648.0,145329,289977.0
16,16,152,Warren St & Church St,40.71473993,-74.00910627,31235.0,32085,63320.0
17,17,153,E 40 St & 5 Ave,40.75206231,-73.9816324,49368.0,46668,96036.0
18,18,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,31688.0,32653,64341.0
19,19,160,E 37 St & Lexington Ave,40.748158,-73.978462,17548.0,17549,35097.0
20,20,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,91701.0,93795,185496.0
21,21,164,E 47 St & 2 Ave,40.75323098,-73.97032517,54636.0,54286,108922.0
22,22,167,E 39 St & 3 Ave,40.7489006,-73.97604882,81919.0,80134,162053.0
23,23,168,W 18 St & 6 Ave,40.73971301,-73.99456405,128371.0,131896,260267.0
24,24,173,Broadway & W 49 St,40.76068327,-73.98452729,99553.0,97939,197492.0
25,25,174,E 25 St & 1 Ave,40.7381765,-73.97738662,66129.0,65587,131716.0
26,26,195,Liberty St & Broadway,40.70905623,-74.01043382,71007.0,70402,141409.0
27,27,212,W 16 St & The High Line,40.74334935,-74.00681753,83193.0,84062,167255.0
28,28,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,14091.0,12190,26281.0
29,29,217,Old Fulton St,40.70277159,-73.99383605,49224.0,55722,104946.0
30,30,218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,3366.0,3752,7118.0
31,31,223,W 13 St & 7 Ave,40.73781509,-73.99994661,67938.0,68270,136208.0
32,32,224,Spruce St & Nassau St,40.71146364,-74.00552427,31530.0,31384,62914.0
33,33,225,W 14 St & The High Line,40.74195138,-74.00803013,35425.0,38576,74001.0
34,34,228,E 48 St & 3 Ave,40.7546011,-73.97187886,49764.0,49928,99692.0
