,station_id,count_x,count_y,total_counts,station1,station2,station3,distance1,distance2,distance3
0,72,12712.0,12692,25404.0,R084-R158,R084-N049,R012-N067,0.012875719999996704,0.012875719999996704,0.015498039999989999
1,79,7577.0,7653,15230.0,R343-R118,R343-R117,R343-R118,0.0004938699999925689,0.0004938699999925689,0.0004938699999925689
2,82,3929.0,3994,7923.0,R118-A066,R540-PTH08,R540-PTH21,0.007216390000003514,0.01100638999999859,0.01100638999999859
3,83,4769.0,5332,10101.0,R057-R612,R057-R610,R057-C009,0.00133068000000236,0.00133068000000236,0.00133068000000236
4,116,13248.0,13356,26604.0,R175-N078,R175-H001,R321-R129,0.001994570000000806,0.001994570000000806,0.0043004899999914414
5,119,1468.0,1589,3057.0,R057-B001,R224-R600,R378-J009,0.01264355999999367,0.016120439999994574,0.043518739999996114
6,120,3353.0,3227,6580.0,R317-N420B,R283-N110,R318-N422,0.00881539000000231,0.015224249999988615,0.016426389999992352
7,127,17507.0,17650,35157.0,R138-N080,R138-N083,R320-R119,0.006712079999999787,0.006712079999999787,0.009382639999991227
8,128,19187.0,19377,38564.0,R282-N087,R282-N087,R290-R124,0.0015567000000018538,0.0015567000000018538,0.0034725399999899764
9,143,6885.0,6901,13786.0,R108-R604,R108-R601A,R108-C001,0.003237070000004394,0.003237070000004394,0.003237070000004394
10,144,3257.0,3449,6706.0,R252-N101,R252-N100,R401-K017,0.010701910000008752,0.010701910000008752,0.0542840899999959
11,146,9194.0,9274,18468.0,R030-R116,R030-R116,R029-N094,0.001043180000003474,0.001043180000003474,0.004394179999998471
12,150,10336.0,9897,20233.0,R311-A064,R139-N090,R139-N089,0.013714650000011375,0.024400649999996915,0.024400649999996915
13,151,23975.0,24016,47991.0,R322-R216,R322-R215,R322-R216,0.0003312200000067378,0.0003312200000067378,0.0003312200000067378
14,157,5679.0,5752,11431.0,R225-R606,R456-R605,R089-C003,0.011403210000004549,0.011406209999996975,0.01147777000000616
15,161,15755.0,16074,31829.0,R160-R219,R290-R121,R290-R123,0.007946059999980548,0.008209940000000415,0.008209940000000415
16,164,10642.0,10651,21293.0,R049-R242,R049-R243,R017-N306,0.005421850000004724,0.005421850000004724,0.005522189999986438
17,167,14771.0,14701,29472.0,R047-R237B,R541-PTH17,R281-N046,0.003844579999999098,0.012094579999995858,0.026993580000002737
